Time(ms),Distance(cm),Heading,Roll,Pitch,Obstacle_Detected,Sys_Cal,Gyro_Cal,Accel_Cal,Mag_Cal
245702,33.39,264.00,2.69,3.13,0,0,3,0,3
245823,140.98,283.44,1.44,4.00,0,0,3,0,3
246740,55.09,293.06,3.81,0.69,0,0,3,0,3
246946,51.23,290.50,4.06,0.31,0,0,3,0,3
247151,50.86,290.50,4.19,0.19,0,0,3,0,3
247688,51.03,290.50,4.38,-0.06,0,0,3,0,3
247888,46.68,290.50,4.44,-0.12,0,0,3,0,3
248095,52.09,290.50,4.50,-0.19,0,0,3,0,3
248302,42.89,290.50,4.56,-0.19,0,0,3,0,3
248855,183.10,290.50,4.56,-0.19,0,0,3,0,3
248968,32.52,290.50,4.56,-0.19,0,0,3,0,3
249524,33.24,290.50,4.56,-0.19,0,0,3,0,3
249636,37.31,290.50,4.56,-0.19,0,0,3,0,3
249749,39.57,290.50,4.56,-0.19,0,0,3,0,3
